| Nº pess/|Período|data atual|TipTmp|TxtDescritTipTempos      |     Número|
|   307458| 202204|01/04/2022|0010  |Presença                 |      8,02 |
|   307458| 202204|01/04/2022|0301  |Hrs/extras não autorizad/|      0,68 |
|   307458| 202204|01/04/2022|0100  |Período variável         |      7,33 |
|   307458| 202204|01/04/2022|0003  |Horário individual       |      7,33 |
|   307458| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   307458| 202204|01/04/2022|E837  |Hrs Normais              |      7,33 |
|   307458| 202204|01/04/2022|E565  |Ad Not 25% S/ HE 60%     |      0,48 |
|   307458| 202204|01/04/2022|BRCO  |Compensação horária      |      0,68 |
|   307458| 202204|01/04/2022|2350  |Jornada Mensal           |      7,33 |
|   307458| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |      8,05-|
|   307458| 202204|01/04/2022|2908  |Adicional Noturno 25% PP |      0,68-|
|   307458| 202204|01/04/2022|2921  |Ad Nt 25% S HE 100% DF PP|      0,48-|
|   307458| 202204|01/04/2022|3002  |Ad N 25% S/ HE 60% PP    |      1,92-|
|   307458| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|     16,98-|
|   307458| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   307458| 202204|01/04/2022|0050  |Horas produtivas         |      8,02 |
|   307458| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      8,02 |
|   308176| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   308176| 202204|01/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   308176| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   308176| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   308176| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   308176| 202204|01/04/2022|PANT  |Par final anterior a DSR |     21,93 |
|   308176| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   308176| 202204|01/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,27 |
|   308176| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   308176| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   308176| 202204|01/04/2022|JREA  |Jornada Realizada        |      7,60 |
|   308176| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      7,60 |
|   308176| 202204|01/04/2022|2837  |Horas Normais            |      7,33 |
|   308176| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   308176| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   308176| 202204|01/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,27 |
|   308176| 202204|01/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   308176| 202204|01/04/2022|2502  |Banco de Horas 60%       |      0,27 |
|   308176| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,27 |
|   308176| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,27 |
|   308176| 202204|01/04/2022|E502  |Bco Hrs 60%              |      0,27 |
|   308176| 202204|01/04/2022|8704  |Hrs Extras 60%           |      0,27 |
|   308176| 202204|01/04/2022|0110  |Período variável Presença|      7,60 |
|   308176| 202204|01/04/2022|0100  |Período variável         |      7,33 |
|   308176| 202204|01/04/2022|0010  |Presença                 |      7,60 |
|   308176| 202204|01/04/2022|0003  |Horário individual       |      7,33 |
|   308176| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   308176| 202204|01/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,27 |
|   308176| 202204|01/04/2022|0301  |Hrs/extras não autorizad/|      0,27 |
|   308176| 202204|01/04/2022|E837  |Hrs Normais              |      7,33 |
|   308176| 202204|01/04/2022|BRCO  |Compensação horária      |      0,27 |
|   308176| 202204|01/04/2022|2350  |Jornada Mensal           |      7,33 |
|   308176| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |      5,92-|
|   308176| 202204|01/04/2022|3002  |Ad N 25% S/ HE 60% PP    |      0,53-|
|   308176| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      7,99-|
|   308176| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   308176| 202204|01/04/2022|0005  |Saldo horário flexível   |      0,00 |
|   308176| 202204|01/04/2022|0050  |Horas produtivas         |      7,60 |
|   308176| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      7,60 |
|   308322| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   308322| 202204|01/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   308322| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   308322| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   308322| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   308322| 202204|01/04/2022|PANT  |Par final anterior a DSR |     22,45 |
|   308322| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   308322| 202204|01/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      1,18 |
|   308322| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   308322| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   308322| 202204|01/04/2022|JREA  |Jornada Realizada        |      8,52 |
|   308322| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      8,52 |
|   308322| 202204|01/04/2022|2837  |Horas Normais            |      7,33 |
|   308322| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   308322| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   308322| 202204|01/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,73 |
|   308322| 202204|01/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   308322| 202204|01/04/2022|BRN2  |HrsExtra turno noite Ctg2|      0,45 |
|   308322| 202204|01/04/2022|BRT2  |Horas extra categoria 2  |     60,00 |
|   308322| 202204|01/04/2022|2502  |Banco de Horas 60%       |      1,18 |
|   308322| 202204|01/04/2022|2700  |Saldo Semanal BH         |      1,18 |
|   308322| 202204|01/04/2022|2701  |Saldo Mensal BH          |      1,18 |
|   308322| 202204|01/04/2022|E502  |Bco Hrs 60%              |      1,18 |
|   308322| 202204|01/04/2022|8704  |Hrs Extras 60%           |      1,18 |
|   308322| 202204|01/04/2022|0310  |Hrs/extrs/não autor/pres/|      1,18 |
|   308322| 202204|01/04/2022|0110  |Período variável Presença|      8,52 |
|   308322| 202204|01/04/2022|0010  |Presença                 |      8,52 |
|   308322| 202204|01/04/2022|0301  |Hrs/extras não autorizad/|      1,18 |
|   308322| 202204|01/04/2022|0100  |Período variável         |      7,33 |
|   308322| 202204|01/04/2022|0003  |Horário individual       |      7,33 |
|   308322| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   308322| 202204|01/04/2022|E837  |Hrs Normais              |      7,33 |
|   308322| 202204|01/04/2022|E565  |Ad Not 25% S/ HE 60%     |      0,45 |
|   308322| 202204|01/04/2022|BRCO  |Compensação horária      |      1,18 |
|   308322| 202204|01/04/2022|2350  |Jornada Mensal           |      7,33 |
|   308322| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |     19,03-|
|   308322| 202204|01/04/2022|2908  |Adicional Noturno 25% PP |      0,85-|
|   308322| 202204|01/04/2022|3002  |Ad N 25% S/ HE 60% PP    |      1,89-|
|   308322| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      7,64-|
|   308322| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   308322| 202204|01/04/2022|0005  |Saldo horário flexível   |      0,00 |
|   308322| 202204|01/04/2022|0050  |Horas produtivas         |      8,52 |
|   308322| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      8,52 |
|   308556| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   308556| 202204|01/04/2022|PAND  |Par inicial  teórico dia |      5,00 |
|   308556| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |      5,00 |
|   308556| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   308556| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   308556| 202204|01/04/2022|PANT  |Par final anterior a DSR |     13,05 |
|   308556| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   308556| 202204|01/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      0,28 |
|   308556| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   308556| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,05 |
|   308556| 202204|01/04/2022|JREA  |Jornada Realizada        |      7,05 |
|   308556| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      7,05 |
|   308556| 202204|01/04/2022|2837  |Horas Normais            |      7,05 |
|   308556| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,05 |
|   308556| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,05 |
|   308556| 202204|01/04/2022|2400  |Horas Compensadas        |      0,28-|
|   308556| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,28-|
|   308556| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,28-|
|   308556| 202204|01/04/2022|3457  |Jorn Compens Banco Horas |      0,28 |
|   308556| 202204|01/04/2022|0110  |Período variável Presença|      7,05 |
|   308556| 202204|01/04/2022|0100  |Período variável         |      7,05 |
|   308556| 202204|01/04/2022|0010  |Presença                 |      7,05 |
|   308556| 202204|01/04/2022|0003  |Horário individual       |      7,05 |
|   308556| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   308556| 202204|01/04/2022|E837  |Hrs Normais              |      7,05 |
|   308556| 202204|01/04/2022|BRCO  |Compensação horária      |      0,28-|
|   308556| 202204|01/04/2022|2350  |Jornada Mensal           |      7,05 |
|   308556| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |      4,73-|
|   308556| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      0,88-|
|   308556| 202204|01/04/2022|9357  |Bco Hrs Compensadas      |      0,28-|
|   308556| 202204|01/04/2022|4457  |Jorn Comp/ Banco Horas   |      0,28-|
|   308556| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   308556| 202204|01/04/2022|0005  |Saldo horário flexível   |      0,28-|
|   308556| 202204|01/04/2022|0050  |Horas produtivas         |      7,05 |
|   308556| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      7,05 |
|   308777| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   308777| 202204|01/04/2022|PAND  |Par inicial  teórico dia |     21,92 |
|   308777| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     21,92 |
|   308777| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   308777| 202204|01/04/2022|3967  |Horas Teoricas           |    100,00 |
|   308777| 202204|01/04/2022|PANZ  |Aux/ calc/ Par final DSR |     24,00-|
|   308777| 202204|01/04/2022|PANT  |Par final anterior a DSR |     29,38 |
|   308777| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   308777| 202204|01/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,13 |
|   308777| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   308777| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      6,33 |
|   308777| 202204|01/04/2022|JREA  |Jornada Realizada        |      6,47 |
|   308777| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      6,47 |
|   308777| 202204|01/04/2022|2837  |Horas Normais            |      6,33 |
|   308777| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,19 |
|   308777| 202204|01/04/2022|DSNT  |Hrs noturnas trab//dia   |      6,00 |
|   308777| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      0,33 |
|   308777| 202204|01/04/2022|BRTN  |Hrs/trabalho turno noite |      6,00 |
|   308777| 202204|01/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,13 |
|   308777| 202204|01/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   308777| 202204|01/04/2022|9100  |Redução Noturna          |      3,05 |
|   308777| 202204|01/04/2022|2502  |Banco de Horas 60%       |      0,13 |
|   308777| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,13 |
|   308777| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,13 |
|   308777| 202204|01/04/2022|E502  |Bco Hrs 60%              |      0,13 |
|   308777| 202204|01/04/2022|8704  |Hrs Extras 60%           |      0,13 |
|   308777| 202204|01/04/2022|0110  |Período variável Presença|      6,47 |
|   308777| 202204|01/04/2022|0100  |Período variável         |      6,33 |
|   308777| 202204|01/04/2022|0010  |Presença                 |      6,47 |
|   308777| 202204|01/04/2022|0003  |Horário individual       |      6,33 |
|   308777| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   308777| 202204|01/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,13 |
|   308777| 202204|01/04/2022|0301  |Hrs/extras não autorizad/|      0,13 |
|   308777| 202204|01/04/2022|E837  |Hrs Normais              |      6,33 |
|   308777| 202204|01/04/2022|E455  |Adicional Noturno 25%    |      6,86 |
|   308777| 202204|01/04/2022|BRCO  |Compensação horária      |      0,13 |
|   308777| 202204|01/04/2022|2350  |Jornada Mensal           |      6,33 |
|   308777| 202204|01/04/2022|2908  |Adicional Noturno 25% PP |     80,97-|
|   308777| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      1,62-|
|   308777| 202204|01/04/2022|0002  |Tempo teórico            |      6,33 |
|   308777| 202204|01/04/2022|0050  |Horas produtivas         |      6,47 |
|   308777| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      6,47 |
|   309141| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   309141| 202204|01/04/2022|PAND  |Par inicial  teórico dia |      5,00 |
|   309141| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |      5,00 |
|   309141| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   309141| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   309141| 202204|01/04/2022|PANZ  |Aux/ calc/ Par final DSR |     24,00-|
|   309141| 202204|01/04/2022|PANT  |Par final anterior a DSR |     13,47 |
|   309141| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   309141| 202204|01/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,13 |
|   309141| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   309141| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   309141| 202204|01/04/2022|JREA  |Jornada Realizada        |      7,47 |
|   309141| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      7,47 |
|   309141| 202204|01/04/2022|2837  |Horas Normais            |      7,33 |
|   309141| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   309141| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   309141| 202204|01/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,13 |
|   309141| 202204|01/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   309141| 202204|01/04/2022|2502  |Banco de Horas 60%       |      0,13 |
|   309141| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,13 |
|   309141| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,13 |
|   309141| 202204|01/04/2022|E502  |Bco Hrs 60%              |      0,13 |
|   309141| 202204|01/04/2022|8704  |Hrs Extras 60%           |      0,13 |
|   309141| 202204|01/04/2022|0110  |Período variável Presença|      7,47 |
|   309141| 202204|01/04/2022|0100  |Período variável         |      7,33 |
|   309141| 202204|01/04/2022|0010  |Presença                 |      7,47 |
|   309141| 202204|01/04/2022|0003  |Horário individual       |      7,33 |
|   309141| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   309141| 202204|01/04/2022|0310  |Hrs/extrs/não autor/pres/|      0,13 |
|   309141| 202204|01/04/2022|0301  |Hrs/extras não autorizad/|      0,13 |
|   309141| 202204|01/04/2022|E837  |Hrs Normais              |      7,33 |
|   309141| 202204|01/04/2022|BRCO  |Compensação horária      |      0,13 |
|   309141| 202204|01/04/2022|2350  |Jornada Mensal           |      7,33 |
|   309141| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |     15,45-|
|   309141| 202204|01/04/2022|2921  |Ad Nt 25% S HE 100% DF PP|      0,20-|
|   309141| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|     19,28-|
|   309141| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   309141| 202204|01/04/2022|0050  |Horas produtivas         |      7,47 |
|   309141| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      7,47 |
|   318565| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   318565| 202204|01/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      6,33 |
|   318565| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   318565| 202204|01/04/2022|2841  |Codigos de Abono         |      6,33 |
|   318565| 202204|01/04/2022|3100  |Férias                   |      6,33 |
|   318565| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   318565| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |      9,32-|
|   318565| 202204|01/04/2022|2908  |Adicional Noturno 25% PP |     34,09-|
|   318565| 202204|01/04/2022|2921  |Ad Nt 25% S HE 100% DF PP|      6,00-|
|   318565| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      0,22-|
|   318565| 202204|01/04/2022|0002  |Tempo teórico            |      6,33 |
|   318565| 202204|01/04/2022|0005  |Saldo horário flexível   |      6,33-|
|   318565| 202204|01/04/2022|TF01  |Flag de ausência         |      1,00 |
|   318584| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   318584| 202204|01/04/2022|PAND  |Par inicial  teórico dia |     13,33 |
|   318584| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |     13,33 |
|   318584| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   318584| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   318584| 202204|01/04/2022|PANT  |Par final anterior a DSR |     21,55 |
|   318584| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   318584| 202204|01/04/2022|NUMA  |Numero Horas Tipo Proc/ A|      0,27 |
|   318584| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   318584| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,07 |
|   318584| 202204|01/04/2022|JREA  |Jornada Realizada        |      7,07 |
|   318584| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      7,07 |
|   318584| 202204|01/04/2022|2837  |Horas Normais            |      7,07 |
|   318584| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,07 |
|   318584| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,07 |
|   318584| 202204|01/04/2022|2400  |Horas Compensadas        |      0,27-|
|   318584| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,27-|
|   318584| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,27-|
|   318584| 202204|01/04/2022|3457  |Jorn Compens Banco Horas |      0,27 |
|   318584| 202204|01/04/2022|0110  |Período variável Presença|      7,07 |
|   318584| 202204|01/04/2022|0100  |Período variável         |      7,07 |
|   318584| 202204|01/04/2022|0010  |Presença                 |      7,07 |
|   318584| 202204|01/04/2022|0003  |Horário individual       |      7,07 |
|   318584| 202204|01/04/2022|0500  |Intervalo                |      1,00 |
|   318584| 202204|01/04/2022|E837  |Hrs Normais              |      7,07 |
|   318584| 202204|01/04/2022|BRCO  |Compensação horária      |      0,27-|
|   318584| 202204|01/04/2022|2350  |Jornada Mensal           |      7,07 |
|   318584| 202204|01/04/2022|2825  |Hr Extra Dom/Fer 100% PP |      8,58-|
|   318584| 202204|01/04/2022|2921  |Ad Nt 25% S HE 100% DF PP|      1,17-|
|   318584| 202204|01/04/2022|3002  |Ad N 25% S/ HE 60% PP    |      4,43-|
|   318584| 202204|01/04/2022|9400  |Bco Hrs Compensadas 16-31|      5,06-|
|   318584| 202204|01/04/2022|9357  |Bco Hrs Compensadas      |      0,27-|
|   318584| 202204|01/04/2022|4457  |Jorn Comp/ Banco Horas   |      0,27-|
|   318584| 202204|01/04/2022|0002  |Tempo teórico            |      7,33 |
|   318584| 202204|01/04/2022|0005  |Saldo horário flexível   |      0,27-|
|   318584| 202204|01/04/2022|0050  |Horas produtivas         |      7,07 |
|   318584| 202204|01/04/2022|0051  |Hrs/produtivas acumuladas|      7,07 |
|   325096| 202204|01/04/2022|YDEF  |Dia do Fechamento        |     15,00 |
|   325096| 202204|01/04/2022|PAND  |Par inicial  teórico dia |      5,00 |
|   325096| 202204|01/04/2022|2478  |Aux/Cont Hrs/ Inic/Teor  |      5,00 |
|   325096| 202204|01/04/2022|2481  |Aux/ Hrs ajuste tab TIP  |      2,00 |
|   325096| 202204|01/04/2022|3967  |Horas Teoricas           |    220,00 |
|   325096| 202204|01/04/2022|PANT  |Par final anterior a DSR |     13,90 |
|   325096| 202204|01/04/2022|NDSR  |Número Dias s/ repouso   |      1,00 |
|   325096| 202204|01/04/2022|NUMB  |Numero Horas Tipo Proc/ B|      0,73 |
|   325096| 202204|01/04/2022|NUMK  |Numero Horas Tipo Proc/ K|      1,00 |
|   325096| 202204|01/04/2022|NUMS  |Numero Horas Tipo Proc/ S|      7,33 |
|   325096| 202204|01/04/2022|JREA  |Jornada Realizada        |      8,07 |
|   325096| 202204|01/04/2022|JRES  |Jornada Realizada Sadia  |      8,07 |
|   325096| 202204|01/04/2022|2837  |Horas Normais            |      7,33 |
|   325096| 202204|01/04/2022|DSHT  |Horas trabalhadas/dia    |      7,33 |
|   325096| 202204|01/04/2022|BRTD  |Horas trabalho turno dia |      7,33 |
|   325096| 202204|01/04/2022|BRD1  |Hrs/extra turno dia ctg/1|      0,57 |
|   325096| 202204|01/04/2022|BRT1  |Horas extra categoria 1  |     60,00 |
|   325096| 202204|01/04/2022|BRN2  |HrsExtra turno noite Ctg2|      0,17 |
|   325096| 202204|01/04/2022|BRT2  |Horas extra categoria 2  |     60,00 |
|   325096| 202204|01/04/2022|2502  |Banco de Horas 60%       |      0,73 |
|   325096| 202204|01/04/2022|2700  |Saldo Semanal BH         |      0,73 |
|   325096| 202204|01/04/2022|2701  |Saldo Mensal BH          |      0,73 |
|   325096| 202204|01/04/2022|E502  |Bco Hrs 60%              |      0,73 |
|   325096| 202204|01/04/2022|8704  |Hrs Extras 60%           |      0,73 |
